File1,File2,sentence,sentiment,topic
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",negative,,,
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",negative,,,
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",negative,,,
tôi cảm thấy giảng viên dạy rất tốt .,positive,,,
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",negative,,,
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,negative,,,
giảng viên thân thiện nhiệt tình cởi mở .,positive,,,
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",positive,,,
coi lại thái độ giảng viên thực hành .,negative,,,
"giảng viên nhiệt tình , giải nhiều bài tập .",positive,,,
bài giảng của thầy rất nhiệt tình .,positive,,,
"môn học chưa thực tiễn , chưa thu hút sinh viên .",negative,,,
dạy hơi nhanh !,negative,,,
ít làm bài tập .,negative,,,
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",negative,,,
"giảng viên nhiệt tình , bài giảng thu hút .",positive,,,
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",positive,,,
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,negative,,,
cần thêm nhiều tài liệu cho sinh viên .,negative,,,
bài tập trên lớp .,neutral,,,
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,negative,,,
thầy nhiệt tình dễ hiểu .,positive,,,
thực hành và lý thuyết nên dạy song song .,negative,,,
giảng viên dạy nhanh .,negative,,,
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,negative,,,
giảng viên cho bài tập hay .,positive,,,
cập nhật bài tập mới .,negative,,,
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",negative,,,
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",positive,,,
phản hồi giải đáp thắc mắc cho sinh viên .,positive,,,
dạy quá nhanh .,negative,,,
mong ban thiết bị sớm khắc phục ạ !,negative,,,
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,negative,,,
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",negative,,,
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",positive,,,
"cô dạy rất tận tình , dễ hiểu .",positive,,,
không đáp ứng được nhu cầu của sinh viên .,negative,,,
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,positive,,,
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,positive,,,
"nhiệt tình , dễ thương .",positive,,,
không hướng dẫn đồ án .,negative,,,
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,negative,,,
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",negative,,,
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",negative,,,
đề thi môn dài sinh viên làm không đủ thời gian .,negative,,,
cho làm nhiều bài test .,negative,,,
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,negative,,,
cần thêm nhiều tài liệu cho môn học .,negative,,,
thầy giảng dạy tốt .,positive,,,
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,negative,,,
thầy cần cho bài tập và hướng dẫn nhiều hơn .,negative,,,
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",positive,,,
em thấy thầy chỉ giảng cho có .,negative,,,
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,negative,,,
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",positive,,,
dạy theo sát chương trình .,positive,,,
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,negative,,,
đề nghị nâng cấp phòng lab khoa mạng .,negative,,,
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",positive,,,
đi dạy đúng giờ .,positive,,,
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",positive,,,
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,positive,,,
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,negative,,,
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",positive,,,
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",negative,,,
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,negative,,,
cô khá tận tâm cho học sinh .,positive,,,
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",negative,,,
giảng viên có khả năng truyền đạt kiến thức tốt .,positive,,,
cho làm nhiều bài tập .,negative,,,
nghiên cứu khoa học .,neutral,,,
"giáo viên dạy rất tận tâm , nhiệt tình .",positive,,,
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,negative,,,
chỉ thông báo trên lớp sẽ khó tránh sai sót .,negative,,,
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,negative,,,
đề nghị lắp thêm quạt .,negative,,,
dạy kỹ .,positive,,,
bài tập cần đa dạng hơn .,negative,,,
nói rất nhỏ .,negative,,,
có lúc làm bài sai giáo viên nói làm hơi tự ái .,negative,,,
không sửa các bài tập thực hành .,negative,,,
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,negative,,,
làm bài tập nhiều mặc dù không hiểu lắm .,negative,,,
thi thoảng nghỉ học không thông báo trên daa .,negative,,,
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",positive,,,
"thầy giảng dạy nhiệt tình , truyền cảm .",positive,,,
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",positive,,,
truyền đạt những kiến thức tốt .,positive,,,
cô vui tính .,positive,,,
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,negative,,,
cô chưa có nhiều kênh bài tập cho sinh viên .,negative,,,
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,negative,,,
thầy dạy hơi nhanh .,negative,,,
ít hướng dẫn sinh viên trong giờ thực hành .,negative,,,
không thực hành được buổi nào .,negative,,,
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",positive,,,
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",neutral,,,
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",positive,,,
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",positive,,,
thầy giảng dạy tận tâm nhiệt tình .,positive,,,
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",positive,,,
thầy giáo dạy nhiệt tình .,positive,,,
"dạy dễ hiểu , gần gũi sinh viên .",positive,,,
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",positive,,,
mong thầy cố gắng trong các học kỳ sau .,negative,,,
cần đưa ra nhiều ví dụ minh họa hơn .,negative,,,
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",positive,,,
giảng viên không dạy một tiết thực hành nào .,negative,,,
không !,neutral,,,
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,negative,,,
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",negative,,,
máy tính cập nhật nhanh hơn .,negative,,,
"vui , hòa đồng , nhiệt tình .",positive,,,
có giúp đỡ sinh viên học tập nghiên cứu .,positive,,,
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",positive,,,
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",negative,,,
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",positive,,,
mong thầy và nhà trường xem xét lại những điều em vừa nói .,negative,,,
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",positive,,,
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",positive,,,
cần tăng cương trao đổi giữa sinh viên và giáo viên .,negative,,,
nói chung là nghe không bao giờ nghe rõ được .,negative,,,
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,negative,,,
"cô giáo thân thiện dễ gần , thực hành nhiều .",positive,,,
chưa tiếp thu trọn vẹn .,negative,,,
cần cải tiến trang thiết thực hành .,negative,,,
giảng kỹ hơn .,negative,,,
còn hơi kéo thời gian .,negative,,,
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,positive,,,
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,negative,,,
đôi lúc giảng bài hơi nhanh .,negative,,,
có một số buổi không đi dạy .,negative,,,
thầy nhiệt tình và dạy dễ hiểu .,positive,,,
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",positive,,,
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",negative,,,
tài liệu hỗ trợ toàn tiếng anh rất khó học .,negative,,,
chưa nhận được gì từ môn học này .,negative,,,
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",negative,,,
bài tập mỗi tuần đều có và đầy đủ .,positive,,,
em xin cảm ơn .,positive,,,
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,negative,,,
đề nghị tăng thời gian thưc hành .,negative,,,
không được làm những chuyện riêng trong lúc dạy thực hành .,negative,,,
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,negative,,,
cô wzjwz259 rất vui và nhiệt tình .,positive,,,
"giáo viện nhiệt tình , tận tâm .",positive,,,
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",positive,,,
cần thêm nhiều kit để thực hành .,negative,,,
dạy khó hiểu quá nhanh .,negative,,,
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",positive,,,
sắp xếp lịch học bù chưa hợp lý .,negative,,,
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",negative,,,
thời gian thực hành cần nhiều hơn .,negative,,,
giảng viên rất nhiệt tình trong giảng dạy .,positive,,,
slide chuẩn bị chưa tốt .,negative,,,
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,negative,,,
cô giảng hướng dẫn nhiệt tình .,positive,,,
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",negative,,,
giảng quá nhiều không đánh vào trọng tâm .,negative,,,
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",negative,,,
cô có nhiều hình thức giảng dạy hay .,positive,,,
hơi khó .,negative,,,
thầy đi trễ .,negative,,,
giảng tốt .,positive,,,
nói mở rộng nhiều vấn đề về môn học .,positive,,,
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,negative,,,
giảng viên tạo điều kiện làm nhiều bài tập .,negative,,,
hỗ trợ thêm về các thiết bị dạy và học .,negative,,,
ít giải bài tập trên lớp .,negative,,,
chia sẻ .,neutral,,,
bám sát nội dung chính .,positive,,,
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,negative,,,
thông tin đầy đủ về bài tập và các nguồn tham khảo .,positive,,,
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",positive,,,
"thầy giảng rất dễ hiểu và thú vị , thu hút .",positive,,,
hướng dẫn chi tiết về cách thực hành .,positive,,,
"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",negative,,,
"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",negative,,,
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",negative,,,
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",negative,,,
"thầy dạy hay , tận tình góp ý từng bài .",positive,,,
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",negative,,,
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",negative,,,
thầy giảng bài hay và hiệu quả !,positive,,,
giảng viên nhiệt tình vui vẻ .,positive,,,
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,negative,,,
"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",negative,,,
"thầy giảng dạy nhiệt tình , dễ hiểu .",positive,,,
mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,negative,,,
"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",positive,,,
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",negative,,,
dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .,positive,,,
"nhiệt tình , tân tâm .",positive,,,
"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",positive,,,
bài tập rất hay .,positive,,,
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,negative,,,
"thầy giảng hay nhưng nên tự tin hơn , nói to hơn để học sinh hiểu bài một cách rõ ràng hơn .",positive,,,
"mong thầy vui tính , gần gũi với sinh viên hơn .",positive,,,
"giáo viên vui tính , hòa đồng , nhiệt tình .",positive,,,
cung cấp kiến thức trọng tâm .,positive,,,
cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .,positive,,,
giọng của giảng viên nhỏ dù đã sử dụng micro .,negative,,,
"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",neutral,,,
giáo viên có phong cách giảng dạy nghiêm túc .,positive,,,
"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",positive,,,
"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",positive,,,
"thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên .",positive,,,
có khả năng truyền đạt tốt .,positive,,,
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,negative,,,
thầy dạy tận tụy và tâm huyết .,positive,,,
thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !,negative,,,
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,negative,,,
cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,negative,,,
dạy tốt đúng trọng tâm những gì cần biết .,positive,,,
"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",positive,,,
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",negative,,,
cơ mà em học môn này em hiểu colonlove .,positive,,,
thiếu kinh nghiệm truyền đạt .,negative,,,
bài giảng thú vị .,positive,,,
em nghĩ nội dung thực hành nên gần với đồ án hơn .,negative,,,
thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .,positive,,,
giảng viên giảng bài kỹ .,positive,,,
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",positive,,,
"nhiệt tình , tâm huyết .",positive,,,
ít chú trọng phần ngữ pháp .,negative,,,
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",negative,,,
"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",positive,,,
"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .",positive,,,
giảng viên nhiệt tình trong giảng dạy và chấm điểm .,positive,,,
"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !",positive,,,
"giảng dạy hay , dễ hiểu , tận tình .",positive,,,
"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",positive,,,
cách dạy sáng tạo .,positive,,,
giảng bài dễ tiếp thu .,positive,,,
em rất hài lòng với cô .,positive,,,
"thầy dạy dễ hiểu , sinh động .",positive,,,
cô chưa nắm bắt được thực trạng học của sinh viên .,negative,,,
ảnh hưởng đến tiến độ học tập và quỹ thời gian của sinh viên ( do học bù ) .,negative,,,
cô giảng bài dễ hiểu .,positive,,,
điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh .,positive,,,
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,negative,,,
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,negative,,,
rất nhiệt tình với sinh viên .,positive,,,
"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .",positive,,,
giảng dạy tốt và có tâm .,positive,,,
dạy lý thuyết hơi nhiều .,negative,,,
giảng viên chấm bài quy chụp theo kết quả .,neutral,,,
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",negative,,,
giảng viên vui tính dễ tương tác với sinh viên .,positive,,,
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",positive,,,
"thầy cho điểm phần nào còn theo cảm tính , chưa được công bằng .",negative,,,
thầy giảng dạy rất nhiệt tình .,positive,,,
"thầy nhiệt tình , bài giảng phong phú đa dạng .",positive,,,
không có gì đặc biệt .,neutral,,,
"mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên .",negative,,,
