,sentiment,content
676,sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
677,happiness,@UniqueMakis Awesome! Wish I could fly out to see her
678,sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
688,sadness,@Dakshinamurti Not yet... sorry
692,sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
698,happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
699,sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
700,sadness,tummy ache.
705,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
708,sadness,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
709,sadness,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
711,sadness,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
712,happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
725,sadness,"I can't sleep, this is so darn frustrating."
728,sadness,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
729,sadness,RIP kelly  fucccccck
734,sadness,Not feeling too good
735,sadness,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
740,sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.
747,sadness,its funny. i'm kinda sad on my last day
750,sadness,Jenny fell asleep and didn't come over
752,sadness,Wishes you had teased me with movie night
754,sadness,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
758,sadness,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
760,sadness,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
766,sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
767,sadness,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
768,sadness,"off to work now, finish about 9pm  booooo."
769,sadness,Wishes you hadn't teased me with movie night
773,sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
781,sadness,should be sleeping.  lost my voice a couple day ago.
783,sadness,I was too sleepy earlier and i didnt get to see matt
786,sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
790,sadness,how to have a glowing face? my complexion is always so pale
791,sadness,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
803,happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
811,sadness,oh no my tweetdeck is malfunctioning :O il have web will its fixd
812,sadness,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
813,sadness,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
818,sadness,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck
822,sadness,Annnnnnddd another one bites the dust
828,sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
838,sadness,@hammett I wish I could have time for my xbox  project all tied
849,sadness,And trash repops.  Getting it tomorrow night I suppose.
853,sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
854,sadness,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
855,sadness,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
857,sadness,Missing Everyone
864,sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
874,sadness,@wired that is so sad
881,sadness,is still sick  sigh
884,sadness,i feel really weird
889,sadness,my throat hurts  gonna go read and go to bed. text mee!
893,sadness,fjdskal im really frustrated.
895,sadness,Wondering how come mcdonalds take so long to deliver my food.
897,sadness,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
899,sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
901,sadness,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
912,sadness,what a beautiful day - shame I've got to spend it in an office
916,sadness,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
917,sadness,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
918,sadness,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
921,sadness,Tummy hurts
923,sadness,farewelling an employee tonight...
926,sadness,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!"
927,sadness,@heavenlyriot Girls are confusing.
928,sadness,@ lyrically_Me   Why would you do that to me?!
930,sadness,Blackout in the city is never good
932,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
942,sadness,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
945,sadness,@t_isfortammy Sad tweets are sad
948,sadness,Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.
951,sadness,i miss rich
952,sadness,Headache of the century coming- I can feel it  Fuck.
953,sadness,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.
959,sadness,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it
967,sadness,@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...
969,sadness,@xMyLifesAStoryx rob got lucky that game he beat me 209-205
973,sadness,home from school had the shitest day today
976,sadness,"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/"
978,sadness,Sitting by myself. Everyone took the good seats.
980,sadness,@sfannah Ahhhhh  Well at least I'm up to!
982,sadness,@DHughesy ME! oh wait wrong state
984,happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
987,sadness,Sorry was that mean
994,sadness,"@rscheuer sorry, is only in spanish for the moment"
1003,happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
1005,sadness,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda
1007,sadness,not well
1008,sadness,@Miss_Rain oh what the hell  way to tell me.
1010,sadness,@theblackestsea oh crap!!
1011,happiness,so carlie came over and she fell asleep on me
1015,sadness,@shaundiviney i didnt get the msg!! :'( but i bought princess
1020,sadness,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude..."
1021,sadness,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor"
1023,sadness,@Madush oh my... now im offended.  ha
1030,sadness,The 3d version of Up sold out   regular version it is!
1032,sadness,@NickTheIntern my love!!! We still havn't done lunch together like we said we would.. I miss you my friend
1033,happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
1044,happiness,@allyycase suuure
1047,sadness,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?
1052,sadness,bed. with stomach ache
1057,sadness,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one
1058,sadness,finally accepting the fact that all cute guys are taken
1067,sadness,@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
1073,sadness,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.
1077,happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
1083,happiness,"up early again  loads to do- but the suns out, hurrah!"
1087,happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
1088,sadness,Matty is le tired.
1093,sadness,@NellaGrl not really having a good night... missing my little girl...
1096,sadness,Nite Tweeple.  Tomorrow will be day 25 at work.
1098,sadness,Ahh man up and getting ready for work  I wanna sleep!!!
1099,sadness,@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol
1100,sadness,Wish I was at sri panwa now
1112,sadness,"wants to listen to musiq soulchild, but it is not on the iPod"
1114,sadness,i miss seeing fireflies.....
1123,sadness,@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
1125,happiness,@ColeDavid had  a little family party tonight   hope it rocked
1128,sadness,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!
1129,sadness,@Saresa And I feel your pain.
1131,sadness,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
1133,sadness,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
1142,sadness,@Jessicaveronica you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!
1150,sadness,I'm going to miss Miss Suhana
1152,sadness,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio
1172,sadness,I should go get a life. Sam just texted me 'Phuture tonight?'  http://sgBEAT.com/pic/81/
1175,sadness,sad that will have to leave my beautiful apartment
1179,sadness,@greco31 I've been trying not to think about that!
1189,sadness,Waiting on the bus! I miss my car
1190,sadness,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5"
1193,sadness,It is kind of lonely when nobody will answer their phone.
1194,sadness,Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya
1205,sadness,"is having the worst week, things really do happen in threes"
1208,sadness,@katrinalmoreno and im an idiot for missing their last show
1225,sadness,@chuybe. you left me first .. and left your bed here for me to look at
1230,sadness,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!"
1233,sadness,Sadly I am bprohibiting myself from tweeting tonight. Sorry
1240,sadness,"@kesoleil Oh man, Did Yogg today. Worse than last week."
1253,sadness,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
1261,happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
1263,sadness,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*
1266,happiness,hahaha yeah i see that. but he can't twitter me back
1267,sadness,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked"
1269,sadness,Wookei why did you never accept my psn friend request
1271,sadness,@davidaKaplan As do I  Leopold says hello.
1272,sadness,because my dad has the tv to loud. Then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.
1273,sadness,"cant talk very well, just remembering about something once said to me...  not a good thing fucking bully nasty pieces of work arrrrgrrrrrr"
1275,sadness,@tiataquito you stop it
1276,happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.
1277,sadness,just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow
1286,sadness,"Yesterday a friend of mine was thrown off his horse as a lorry drove past us, ignoring us signaling for him to slow down"
1288,sadness,Ready to go into work now.  cannot be bothered.
1290,sadness,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep"
1294,sadness,i really should stop relying on my family when they say their going to get me lunch
1295,sadness,"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
1299,sadness,@_erica I know right
1301,sadness,@roshnimo yup .. sad eh .. Betty man .. it should have been betty
1309,sadness,@polyap POL! Is this song from a new album? I am really missing out on UdD!
1310,sadness,is tired of summer already
1311,sadness,feels really sick.
1320,sadness,@Trentskers Pfftt... I wish. Don't have time though.
1324,happiness,@assembled ive been there before  haha
1325,sadness,"Mom asking if I'm feeling better after dargah visit. Dad swears he sees +ve &quot;change&quot;.  I am amused.   But yeah, still depressed"
1327,sadness,Their songs make me want to cry..
1328,sadness,@AshleyGofficial aww dont cry ashley
1333,sadness,My siblings left me alone.   Bored. (:|
1336,happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better"
1338,sadness,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45
1343,sadness,I wish my grandmother had taken me to the US with her
1344,sadness,@noiselesssound I just heard that Regina girls song @ les deux! And I think u should/have 2 come back 2 mc! I miss u
1345,sadness,"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame"
1347,sadness,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round"
1351,sadness,"@Krista_Watson I can't this weekend, sorry  And Steph is working."
1356,happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
1358,sadness,just got home. im so effin sad
1359,sadness,@lizz_xx cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo
1364,sadness,"@zackintoys Sadly, it doesn't  I was so hopeful after American Doll Posse, too ... it's just so blah and vacant of dynamic."
1369,sadness,@MommaSalty ...that's a miserable afterparty report
1373,sadness,Not excited of blowing out another candle today... [as when I was a kid!]
1374,sadness,sigh....it's always so sad when you watch the series finale....no more green wing left to watch
1378,sadness,Got the BrainBone daily question wrong!  - http://bit.ly/11dd2T
1380,sadness,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!
1382,sadness,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh"
1394,sadness,@USOuljah Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL
1399,sadness,Wants milk
1400,sadness,@madeleinelaurin whys your cat in pain?
1402,sadness,aww my poor tank friend.    his guild is fucking him over after promising him main OT. he barely even gets to go now.  ;_;
1406,sadness,@franksting yeah... it is very very dry down here
1409,sadness,god it pisses me off that i always enter comps &amp; never win.I am such a sore loser
1413,sadness,Canï¿½t stop loosing.  Worst month results ever... Bubble two times in a row.
1423,sadness,"Time for bed, oh how I wish someone was laying next to me"
1430,happiness,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.
1436,sadness,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
