comment,label,rate,Unnamed: 3
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.",positive,5,
"Giày nhem nhuốc, ố bẩn + Box nát.",negative,1,
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc.",neutral,3,
Đủ số lượng.,positive,4,
Áo y hình Chất lượng sản phẩm tuyệt vời.,positive,5,
RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!!,positive,5,
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương.",negative,2,
Áo sờ chất rất thích.,positive,4,
"Váy quá đẹp,mặc lên rất tôn da.",positive,5,
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ?",positive,4,
"Giao hàng nhanh, giống hình.",positive,5,
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍.",positive,5,
"Hàng chất lượng tốt, mang đi êm <3.",positive,5,
Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt .,positive,4,
Người giao hàng rất có tâm đấy ạ.,positive,5,
Hàng tốt i như trong hình.,positive,5,
Giao hàng khá chậm.,negative,2,
"Áo đẹp, hơi mỏng.",neutral,3,
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt.,positive,5,
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a.",positive,5,
Màn hình to và khá là hd.,positive,5,
Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok.,negative,2,
Quần chưa kịp mặc đã bục 1 đoạn.,negative,2,
Mình 48kg.,neutral,3,
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý.",positive,4,
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to .,positive,4,
Shop còn có quà tặng kèm và thẻ tích điểm.,positive,5,
Mạng chạy chậm quá.,negative,1,
"Vừa khít bụng mình mà không bị hằn,cấn.",positive,4,
Mua lần 2.,positive,4,
Chất lượng sản phẩm tốt.,positive,5,
Rất ưng ý 🤪❤️❤️.,positive,5,
"Hàng thì siêu yêu, siêu mềm mịn.",positive,5,
Chất liệu vải tốt so với giá ( 100k).,positive,4,
Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được.,neutral,3,
"Đóng gói kĩ , áo còn lại đẹp.",positive,5,
"Giao nhầm hàng , ib shop k trả lời 😓😓😓.",negative,1,
"Màu bạc rất sáng, lấp lánh hơn màu hồng.",positive,4,
"Chất áo dày dặn, form áo đẹp.",positive,5,
Ống quần bên to bên nhỏ size s và l bằng nhau.,negative,2,
Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,positive,5,
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok.",positive,5,
Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ...,neutral,3,
Chất lượng sản phẩm tuyệt vời.,positive,5,
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄.",positive,5,
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc.",positive,4,
Giao hàng lâu.,negative,2,
Sz 34 mà Khung ngực nhỏ quá.,negative,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,5,
Hàng y hình rất đẹp ạ ❤️.,positive,5,
Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém.,negative,1,
Bàn tay mỏng nên ko nâng lắm.,negative,2,
Đẹp lắm đấy.,positive,4,
"Áo giống hình, chất vải hơi nóng.",positive,4,
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi.",negative,1,
Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng.,neutral,3,
Đóng gói sản phẩm rất đẹp và chắc chắc.,positive,5,
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp.",positive,5,
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm.,negative,2,
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà.",positive,5,
Váy còn đẹp và chuẩn hơn trong hình nữa.,positive,5,
Sz 2 bộ xanh và hồng ko giống nhau.,negative,1,
Áo rẻ đẹp phù hợp giá tiền.,positive,4,
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi....",positive,5,
Chất lượng sản phẩm tuyệt vời.,positive,5,
Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp.,positive,5,
Sản phản mới.Chất lượng sản phẩm tuyệt vời .,positive,5,
Giao hàng nhanh.👍👍.,positive,5,
Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại.,positive,4,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈.,positive,5,
Chất ok á..nhưng rep ib thì hơi lâu.,positive,4,
Luôn ủng hộ shop.,positive,5,
Âm thanh rất dở.,negative,1,
Xấu và nhìn phom áo chán đời luôn.,negative,1,
Chất lượng sản phẩm tốt Đáng đồng tiền.,positive,5,
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa .",positive,5,
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍.",positive,5,
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm.,negative,2,
Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết.,negative,2,
Chuẩn hàng Bitis.,positive,4,
Màu ko đẹp như hình chup.,negative,1,
Hàng đẹp giao nhanh.,positive,5,
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè.",positive,5,
Hợp với giá 130k.,positive,5,
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào.",negative,2,
Thời gian giao hàng rất nhanh.,positive,5,
"Công nghệ hơi lạ, ko biết có bền ko.",neutral,3,
Gối hơi nhỏ.,negative,2,
"Áo nhìn xinh , shop nói chuyện cực đáng yêu.",positive,5,
Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá.,neutral,3,
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi.,negative,1,
Vải oke lắm luôn.,positive,5,
"Sản phẩm tạm được, đóng gói không đẹp.",negative,2,
Chưa thấy shop nào hãm l thế này.,negative,1,
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng.",positive,5,
Tầm giá là sử dụng tot.,positive,5,
Không dùng được.,negative,2,
Chất lượng sản phẩm tạm được áo hơi ngắn so với hình.,negative,2,
Sản phẩm tôt giao hang nhanh.,positive,4,
Hàng bình thường.,neutral,3,
K con duong nao de che .,negative,1,
Chất vải ok dày dặn.,positive,5,
Ưng!,positive,4,
Nay mua thêm 1 combo nữa.,neutral,3,
áo dep lam shop ui.mình rat thix.,positive,5,
Thời gian giao hàng nhanh.,positive,5,
Rất ưng hiii.,positive,5,
K giao.,negative,2,
Màu sắc k giống hình.,negative,2,
Áo vải quá xấu.,negative,1,
"Nói chung là mình mua mặc đi làm ok, đáng tiền.",positive,5,
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết.",positive,5,
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng.",negative,2,
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,5,
Hàng kém chất lượng và không như quảng cáo.,negative,2,
Shop phục vụ rất tốt.,positive,5,
Nói chung là không thất vọng đâu.,positive,4,
Chất lượng sản phẩm tuyệt vời.,positive,5,
Sản phẩm giống hình.,neutral,3,
Giầy hơi cứng Chất lượng sản phẩm tạm được.,neutral,3,
Sờ chất quần thì Ok luôn.,positive,4,
"Vay đẹp kỹ,tu van nhiet tinh.",positive,5,
Y hình.,positive,5,
Nt ko trả lời.,negative,2,
Chất lượng vừa với giá tiền.,positive,4,
Sẽ ủng hộ shop dài.,positive,5,
Hàng chất lượng hơn giá sản phẩm nhak mọi người.,positive,4,
Áo rách ntn ko hiểu phải mặc ntn luôn.,negative,1,
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok!",positive,4,
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀.,positive,4,
Chọn màu này lấy màu kia.,negative,2,
"hàng tương đối ổn,mình khá hài lòng.",positive,4,
Inbox ko thèm trả lời.,negative,2,
Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang.,positive,5,
Mất uy tín.,negative,1,
Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá.,positive,4,
Rất ưng.,positive,5,
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*.",positive,4,
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh.",positive,5,
giày đẹp lắm . giao hàng lâu quá mun điên.,positive,4,
Shop giao siêu nhanh.,positive,5,
Giao hàng nhanh.,positive,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền.,positive,4,
Chất lượng sản phẩm tuyệt vời.,positive,5,
Vừa ý.,positive,4,
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn.",positive,4,
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,positive,5,
Nhưng ko sao tks shop.,positive,4,
Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì.,positive,4,
Vài thun rất mỏng ko fai len.,negative,1,
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍.,positive,5,
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒.",positive,4,
Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao.,positive,5,
Thêm tin tưởng vào shoppe.,positive,4,
Áo vải đẹp mịn mát ❤.,positive,5,
Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh.,positive,5,
Chủ shop nhiệt tình.,positive,5,
Rất đáng tiền.,positive,5,
Sản phẩm rất đẹp.,positive,5,
Hơi thô.,negative,2,
Vãi rất mỏng.,negative,2,
Hàng y như hình.,neutral,3,
Đẹp lại rẻ.,positive,5,
Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh.,positive,5,
"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k.",positive,5,
"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh.",positive,5,
"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng.",positive,5,
"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm.",negative,2,
Quả ko đẹp Chất lượng sản phẩm tạm được.,negative,2,
"Áo chất đẹp, shop phục vụ tốt.",positive,4,
Đóng gói sản phẩm chắc chắn.,positive,5,
Tôi rất hài lòng về sản phẩm.,positive,5,
Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp.,positive,5,
Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn.,negative,1,
Hàng rất ok 👍.,positive,5,
CL phù hợp giá tiền.,neutral,3,
"Đúng hình ảnh, đẹp.",positive,5,
Mẫu cũng đa dạng.,positive,5,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,5,
Hết hàng thì phải báo với khách chứ đằng này vẫn giao.,negative,2,
"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng.",positive,5,
"Đẹp, vừa ý...",positive,4,
Tuyệt ạ ... giày nhẹ êm.,positive,5,
Đúng mỗi 1 màu.,negative,2,
Sản phẩm chất lượng .,positive,4,
"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật.",negative,1,
Đóng gói kỹ.,positive,5,
Gói hàng cẩn thận.,positive,5,
Cảm ơn shop nhìu.,positive,4,
"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa.",positive,5,
Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền.,positive,5,
Cảm ơn shop nhé.,positive,4,
Giống hình mà vải hơi cứng bạn ạk.,positive,4,
"Chất áo đẹp lắm, yêu shop.",positive,5,
Quần của shop quá đẹp luôn.,positive,5,
"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn.",positive,5,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền.,positive,5,
Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm.,neutral,3,
Đặt 2 quần dài mà đóng gói cho 1 quần ngố.,negative,2,
Khuyến khích cho 5*.,positive,5,
"Nét chữ không được rõ, sp có mùi hơi kinh.",negative,1,
Mặc phối với chân váy hay jean đều đẹp.,positive,5,
Nhưng GHTK thu tròn 110.000 đ.,negative,2,
"Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc .",neutral,3,
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay.,positive,5,
"Đóng gói sp chắc chắn, giao hàng rất nhanh.",positive,5,
Chất lượng sản phẩm kém không giống như mô tả.,negative,2,
Đáng tiền.,positive,5,
Váy mặc siêu xinh.,positive,5,
Thời gian giao hàng rất nhanh hàng y hình.,positive,4,
Vải thì rất đẹp.,positive,5,
Tiền nào cũa náy.,neutral,3,
Gooddd.,positive,5,
Áo rộng hơn hình nhiều.,negative,2,
Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,5,
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm.,neutral,3,
Áo from rộng như ảnh.,positive,5,
Chất liệu vải ổn.nhưng hơi rộng.,neutral,3,
Ship ko đúng màu.,negative,1,
vãi nĩ dày . nóng.,negative,2,
"Shop phục vụ rất tốt, chất lượng sp ok.",positive,5,
"ngon đấy, nhưng đang ăn thì ăn phải cọng thun.",negative,2,
Khá ok 😉 sẽ ủng hộ shop tiếp.,positive,4,
Đẹp lắm nha.,positive,5,
Áo vừa quá.,positive,5,
Thời gian giao hàng nhanh.,positive,4,
Áo đẹp lắm b ơi.,positive,5,
Màu thì ko thực sự giống trong hình.,negative,1,
Chất lượng vải kém ko như hình .,negative,2,
Đã quay Video và chụp ảnh nhưng shop không phản hồi.,negative,2,
"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt.",positive,5,
"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág.",negative,2,
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong.,negative,2,
"Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k.",neutral,3,
Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,4,
Chất dc.,positive,5,
"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ!",positive,5,
"Mật ong loãng, ko đặc sánh lắm.",negative,2,
Sẽ tiếp tục ủng hộ shop dài lâu!,positive,5,
Dép đi êm và mềm.,positive,4,
"Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng.",neutral,3,
Chất tạm dc tương sứng giá tiền.,positive,5,
Giao hàng và chăm sóc tận tình.,positive,5,
giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp.,neutral,3,
Shop cho doi tra ok.,neutral,3,
Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng .,positive,5,
Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn.,positive,4,
"Vải mỏng, thô hơn mình tưởng tượng.",neutral,3,
Giao hàng nhanh.,positive,5,
Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt.,positive,5,
"áo màu sắc tươi sáng, vải chất ạ.",positive,5,
Shop rất thái độ với khách hàng.,negative,1,
bị chật ngắn.,negative,2,
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền.,positive,5,
Được tốt.,positive,5,
Chất lượng sản phẩm tuyệt vời.,positive,5,
Chất lượng sp qá tệ.,negative,1,
Chủ shop nhiệt tình dễ thương.,positive,5,
"Giao hàng nhanh,.",positive,4,
Đàn nhìn cưng lắm 🎶🎵🎶.,positive,4,
Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ.,positive,4,
"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het.",negative,1,
Nhưng khá ok rồi.,positive,4,
Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực.,positive,5,
Chả ra gì cả .chất lượng kém.,negative,1,
Gui sai một sp còn lại chất lượng tốt.,neutral,3,
Chất rất oke.,positive,5,
"Rất ưng, mặc thoải mái mà chất vải rất thích.",positive,5,
Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ.,negative,2,
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng.,positive,5,
Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop.,positive,5,
Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch.,negative,1,
"Ai thik mua,chọn size lớn hơn 2size ok hơn.",positive,4,
Đẹp hút hồn .,positive,5,
Giao hàng cũng nhanh ^^!,positive,4,
Giá còn rẻ.,positive,4,
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,5,
"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì.",negative,2,
Không tốt chất liệu sấu.,negative,2,
"Chất lượng sản phẩm tuyệt vời, shop này uy tín quá.",positive,5,
Vải kate thun mỏng nhẹ mát.,positive,5,
Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt.,positive,5,
Chất vải được.,positive,4,
"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy.",positive,5,
"Áo sơ mi đẹp, giống hình.",neutral,3,
"Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè.",positive,5,
Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra.,negative,1,
"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀.",positive,5,
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO.,positive,5,
Ko ưng y lam.,negative,2,
Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút.,negative,2,
Chất lượng sản phẩm tuyệt vời.,positive,5,
Giờ chẳng biết làm gì với cái áo đó.,negative,1,
Ncl rất ưng.,positive,5,
Thời gian giao hàng rất nhanh.,positive,5,
"Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả.",positive,4,
"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa.",neutral,3,
Shop phục vụ rất tốt.,positive,5,
Chất áo mỏngg.,neutral,3,
Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn.,positive,5,
"Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn.",positive,4,
chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun.,negative,2,
"Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><.",positive,5,
"Hàng chuẩn, uy tín.",positive,4,
Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!!,neutral,3,
Thời gian giao hàng rất nhanh.,positive,5,
Đặt hàng ko giao hàng là Sao vậy á.,negative,1,
Hơi mỏng :)) k như mong đợi.,negative,2,
Ủng hộ shop ngàn sao luôn nè 😋😋.,positive,5,
Hic.,negative,2,
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính.",positive,4,
Giao hàng nhanh.,positive,4,
Chất lượng khá tốt.,positive,4,
Vải dày và co giãn tốt.,positive,4,
Nhưng nếu màu hồng tươi thì ok !,positive,4,
Vải rất đẹp.,positive,5,
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm.,neutral,3,
Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua.,positive,4,
"Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :).",neutral,3,
Chất lượng sản phẩm tuyệt vời.,positive,5,
Nỉ ấm và dày.,positive,5,
Có chút trục trặc nhưng sửa lại thì vẫn đẹp.,positive,4,
Chất lượng sản phẩm tuyệt vời.,positive,5,
"Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.",positive,5,
Giao lâu.,negative,2,
Chất dai đanh và lì mặt.,neutral,3,
Giao hàg thì thôi nhah khỏi nói.,positive,4,
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Vải áo hơi mỏng.,positive,4,
Muốn làm đại lý sỉ.,positive,5,
San phạm nay vua Shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k Nhuyễn nua.,neutral,3,
Size hơi to nhỉ 45kg -1m50 size S rồi mà hơi rộng.,positive,4,
"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng.",negative,2,
Nhưng áo khiến mình hơi thất vọng.,negative,2,
"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng.",negative,2,
